楼盘编号,传不3.0更名 -- 名称,楼盘名称,商户楼盘名称,社区类型,电梯数,单元数,楼栋数,楼盘地址,电梯总数,单元总数,楼栋总数,区县,方位,区位,社区居住规模,入住时间,租金,物业费,现售均价
5143,188商务综合楼,188商务综合楼,188商务楼,商住楼,4,2,2,八里桥路188号附20号,0,0,0,成华区,北门,二环至三环,500,2015,30,6,16200
,,,188商务综合楼,,4,2,2,,,,,,,,,,,,
779,删除,188商务综合楼1号楼,,商住楼,,,,八里桥路188号附20号,0,0,0,成华区,北门,二环至三环,500,2015,50,6,16200
780,删除,188商务综合楼2号楼,,商住楼,,,,八里桥路188号,0,0,0,成华区,北门,二环至三环,500,2015,50,6,16200
5894,1958时代广场,1958时代广场,1958时代广场,普通住宅,12,9,3,红光广场路北二段51号,12,9,3,郫都区,,,1000,2012,20,0,6000
3513,三度空间,3度空间,3度空间,高级住宅,6,4,2,火车南站东路10号,0,0,0,武侯区,南门,二环至三环,408,2013,40,1.6,26400
,,,三度空间,,6,4,2,,,,,,,,,,,,
5301,三度空间,三度空间,三度空间,商住楼,6,6,3,火车南站东路10号,6,3,2,武侯区,南门,二环至三环,450,2011,38,1.9,20516
,,,3°空间,,6,3,2,,,,,,,,,,,,
5350,701住宿楼,701住宿楼,701住宿楼,高级住宅,5,5,4,马鞍东路11号,5,5,4,金牛区,东方,,700,2009,37,2.3,11000
3791,78号观邸,78号观邸,78号观邸,高级住宅,15,7,1,锦里西路78号,15,7,1,青羊区,西门,一环内,577,2008,43,1.8,27300
5672,8号公馆二期,8号公馆二期,8号公馆二期,高级住宅,21,21,6,光华大道三段南侧清泉南街168号,21,21,6,温江区,东方,,264,2012,0,0,8000
5673,8号公馆一期,8号公馆一期,8号公馆一期,高级住宅,10,10,5,光华大道三段南侧清泉南街168号,10,10,5,温江区,东方,,232,2012,0,0,8000
5082,A世界大厦,A世界大厦,A世界大厦,写字楼,6,2,2,一环路南二段8号,0,0,0,武侯区,南门,二环至三环,500,2006,60,16,33000
3683,A世界电脑商城,A世界电脑商城,A世界电脑商城,商住楼,6,2,2,人南二段17号,6,2,2,武侯区,南门,一环至二环,607,2004,53,1.6,34760
,,,A世界,,6,2,2,,,,,,,,,,,,
4266,COLOUR彼岸,COLOUR彼岸,Colour彼岸,高级住宅,3,2,1,致民东路13号,3,2,1,锦江区,东门,一环内,500,2002,30,1.2,21000
,,,Colour彼岸,,3,2,1,,,,,,,,,,,,
,,,Colour彼岸,,3,2,1,,,,,,,,,,,,
3234,DOT起跑线,DOT起跑线,DOT起跑线,写字楼,2,1,1,成渝立交外侧,2,1,1,锦江区,东门,二环至三环,340,2015,50,5,13650
3792,E商务空间,E商务空间,E商务空间,商住楼,1,1,1,清江东路356号,1,1,1,青羊区,北门,一环至二环,586,2008,50,1.6,14400
,,,E商务空间,,1,1,1,,,,,,,,,,,,
6081,IMC国际广场,IMC国际广场,IMC国际广场,写字楼,6,2,1,吉庆四路188号,6,2,1,高新区,,,1173,2006,0,0,20414
5010,QQ酒店,QQ酒店,,商业中心,,,,九里堤北路6号,0,0,0,金牛区,北门,一环内,300,2004,90,1.5,19950
4174,Q城,Q城,Q城,普通住宅,4,2,1,汇泉南路106号,4,2,1,锦江区,东门,二环至三环,303,2011,30,1.8,19950
,,,Q城,,4,2,1,,,,,,,,,,,,
,,,Q城,,4,2,1,,,,,,,,,,,,
5607,Q城摩登派,Q城摩登派,Q城摩登派,高级住宅,4,2,1,汇泉南路106号,4,2,1,锦江区,东方,,168,2010,0,0,18074
5376,SHINE.星立方,SHINE.星立方,SHINE.星立方,商住楼,14,5,1,光华南三路89号,14,5,1,青羊区,东方,,900,2016,28,2.6,8500
3470,SOHO沸城,SOHO沸城,SOHO沸城,写字楼,8,2,2,科华北路60号,0,0,0,武侯区,南门,一环至二环,792,2005,35,1.2,22880
6436,删除,SOHO沸城（成都）,,写字楼,,,,科华北路60号,0,0,0,武侯区,,,1173,2003,0,0,10223
3420,SOHO商务港,SOHO商务港,SOHO商务港,写字楼,2,1,1,宏济新路5号,2,1,1,锦江区,东门,一环至二环,500,2001,50,1.1,10080
,,,SOHO商务港,,2,1,1,,,,,,,,,,,,
3421,SOHO我的寓所,SOHO我的寓所,SOHO我的寓所,写字楼,3,1,1,天仙桥北路1号,3,1,1,锦江区,东门,一环内,276,2004,33,1.5,21000
,,,soho我的寓所,,3,1,1,,,,,,,,,,,,
4570,SOLO,SOLO,SOLO电梯公寓,商住楼,4,4,2,东风路北一巷11号,0,0,0,成华区,东门,一环内,370,2004,28,1.2,18060
4741,SOLO电梯公寓,SOLO电梯公寓,SOLO电梯公寓,商住楼,4,2,1,东风路20号,4,2,1,锦江区,东门,一环内,400,2003,33,1.6,23100
5557,SOLO商务楼,SOLO商务楼,SOLO商务楼,商住楼,4,2,1,东风路北1巷11号,4,2,1,成华区,东方,,370,2003,0,0,16730
4433,TT尚品,TT尚品,TT尚品,高级住宅,12,6,2,瑞联路39号,12,6,2,青羊区,北门,二环至三环,583,2008,30,1.2,18000
,,,TT尚品,,12,6,2,,,,,,,,,,,,
,,,TT尚品,,12,6,2,,,,,,,,,,,,
5027,U+尚舍,U+尚舍,U+尚舍,普通住宅,8,4,1,崔家店路418号,8,4,1,成华区,东门,三环外,800,2012,30,1.8,21000
,,,U佳尚舍,,8,4,1,,,,,,,,,,,,
,,,U+尚舍,,5,3,1,,,,,,,,,,,,
6434,嘉华苑,（成都）嘉华苑,,高级住宅,,,,双楠路2号,0,0,0,武侯区,,,400,2002,0,0,20205
6435,罗马假日广场,（成都）罗马假日广场,,写字楼,,,,高升桥东路6号,0,0,0,武侯区,,,4693,2000,0,0,17465
5502,艾佳上邸,艾佳上邸,艾佳上邸,高级住宅,5,3,3,东升藏卫路南二段19号,5,3,3,成华区,东方,,450,2008,40,1.8,10000
606,爱丁堡,爱丁堡,爱丁堡,商住楼,1,1,1,大华路2#,1,1,1,武侯区,西门,二环至三环,415,2006,51,1.6,30600
3745,爱丁郡院,爱丁郡院,爱丁郡院,普通住宅,18,9,5,凌窠路300号,18,9,5,锦江区,东门,二环至三环,722,2010,31,1.5,19740
,,,爱丁郡院,,18,9,5,,,,,,,,,,,,
,,,爱丁郡院,,18,9,5,,,,,,,,,,,,
3879,爱家丽苑,爱家丽苑,爱家丽苑,商住楼,5,5,1,锦华路一段7号,5,5,1,锦江区,东门,一环至二环,900,2004,33,1.6,21000
,,,爱家丽苑,,5,5,1,,,,,,,,,,,,
2406,爱家利苑,爱家利苑,爱家利苑(成都),商住楼,5,5,2,锦华路1号,5,5,2,锦江区,东门,二环至三环,400,2010,32,1.6,18900
6213,删除,爱家利苑(成都),爱家利苑(成都),商住楼,5,5,2,锦华路1号,5,5,2,锦江区,,,880,2004,0,0,26000
79,爱家特区,爱家特区,爱家特区,高级住宅,5,5,5,紫藤路1号,5,5,5,武侯区,西门,一环内,500,2000,39,1,24780
,,,爱家特区,,5,5,1,,,,,,,,,,,,
,,,爱家特区,,0,3,1,,,,,,,,,,,,
5857,爱家新天地A区,爱家新天地A区,爱家新天地A区,普通住宅,2,2,1,白马庙街169号,2,2,1,温江区,,,85,2007,20,0,6000
5858,爱家新天地B区,爱家新天地B区,爱家新天地B区,普通住宅,4,4,1,白马庙街169号,4,4,1,温江区,,,95,2007,20,0,6000
2405,爱家馨城,爱家馨城,爱家馨城,高级住宅,12,12,4,永盛路南街11号,12,12,4,武侯区,西门,二环至三环,637,2005,31,1.2,18440
4939,删除,爱家馨苑,,普通住宅,,,,桃蹊路389号,0,9,3,成华区,北门,二环至三环,252,2002,50,12,13500
2181,爱丽舍,爱丽舍,爱丽舍,商住楼,4,2,1,黄忠路5号,4,2,2,青羊区,西门,二环至三环,360,2004,28,1.2,16600
,,,爱丽舍,,4,2,2,,,,,,,,,,,,
5836,爱琴海,爱琴海,爱琴海,普通住宅,6,4,3,蛟龙港高新大道68号,6,4,3,双流区,,,728,2010,20,0,6000
2182,爱舍尔花园,爱舍尔花园,爱舍尔花园,普通住宅,6,6,6,大安西路54-58,6,6,6,青羊区,北门,一环内,560,2006,32,1.6,19950
3869,爱斯特大厦,爱斯特大厦,爱斯特大厦,写字楼,2,1,1,科园南路9号附1号,2,1,1,高新区,南门,二环至三环,500,2013,30,1.6,19800
5168,爱心大厦,爱心大厦,爱心大厦,写字楼,2,1,1,总府路20号,0,0,0,锦江区,东门,一环内,500,2013,40,8,27258
