城市,楼盘编号,传不3.0更名 -- 名称,楼盘名称,商户楼盘名称,社区类型,状态,媒体类型,经营商户,电梯数,单元数,楼栋数,楼盘地址,禁忌行业,单价,电梯总数,单元总数,楼栋总数,促销价格,是否活动,媒体类型占比,区县,方位,区位,社区居住规模,入住时间,租金,物业费,现售均价,缩略图,大门图片,单元图片,电梯图片,经度,纬度,状态,资源录入时间,资源录入人员,操作时间,操作人员,楼盘备注
成都,5143,188商务综合楼,188商务综合楼,188商务楼,商住楼,禁用,电子屏,新潮,4,2,2,八里桥路188号附20号,,99,0,0,0,0,0,a:0:{},成华区,北门,二环至三环,500,2015,30,6,16200,./Uploads/ico/2016-04-26/571f1e4de5bca.jpg,./Uploads/ico/2016-04-13/570df69226ff0.jpg,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.076893,30.704429,禁用,2017年06月07日 15点01分59秒,yanglianqi,2017年12月20日 14点44分26秒,杨镰齐,
,,,,188商务综合楼,,禁用,门贴,正合门道,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成都,779,删除,188商务综合楼1号楼,,商住楼,,,,,,,八里桥路188号附20号,美容化妆-美发美体-洗浴按摩-KTV-酒吧-诊所/药房-医美整形-综合医院-专科医院-药品保健品-个护化妆-服装配饰,99,0,0,0,0,0,a:0:{},成华区,北门,二环至三环,500,2015,50,6,16200,./Uploads/thumb/2016-04-13/570df69226ff0.jpg,./Uploads/ico/2016-04-13/570df69226ff0.jpg,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.078198,30.703216,禁用,2016年04月07日 15点24分54秒,yanglianqi,2017年12月20日 14点43分25秒,杨镰齐,
成都,780,删除,188商务综合楼2号楼,,商住楼,,,,,,,八里桥路188号,美容化妆-美发美体-洗浴按摩-音像/图书-诊所/药房-医美整形-体检-综合医院-专科医院-药品保健品,99,0,0,0,0,0,a:0:{},成华区,北门,二环至三环,500,2015,50,6,16200,./Uploads/thumb/2016-04-18/57143ebd1afae.jpg,./Uploads/ico/2016-04-18/57143ebd1afae.jpg,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.078198,30.703216,禁用,2016年04月07日 15点24分54秒,yanglianqi,2017年12月20日 14点43分25秒,杨镰齐,
成都,5894,1958时代广场,1958时代广场,1958时代广场,普通住宅,开启,电梯框架,飞廉传媒,12,9,3,红光广场路北二段51号,商品房,99,12,9,3,0,0,"a:1:{s:7:""media_1"";d:100;}",郫都区,,,1000,2012,20,0,6000,./Uploads/ico/2018-02-07/5a7a9d262b22d.jpg,./Uploads/ico/2018-02-07/5a7a9d262b22d.jpg,,./Uploads/ico/2018-02-07/5a7a9d2b6e034.jpg,103.955599,30.785959,开启,1970年01月01日 08点00分00秒,,1970年01月01日 08点00分00秒,,
成都,3513,三度空间,3度空间,3度空间,高级住宅,禁用,电梯框架,精视传媒,6,4,2,火车南站东路10号,,99,0,0,0,0,0,a:0:{},武侯区,南门,二环至三环,408,2013,40,1.6,26400,./Uploads/thumb/2016-03-05/56da8077848b3.jpg,./Uploads/ico/2016-03-05/56da8077848b3.JPG,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.080571,30.609377,禁用,1970年01月01日 08点00分00秒,yanglianqi,2017年12月20日 14点43分58秒,杨镰齐,
,,,,三度空间,,禁用,电子屏,每多力,6,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成都,5301,三度空间,三度空间,三度空间,商住楼,禁用,电子屏,博景传媒,6,6,3,火车南站东路10号,,99,6,3,2,0,0,"a:1:{s:7:""media_1"";d:100;}",武侯区,南门,二环至三环,450,2011,38,1.9,20516,./Uploads/ico/2016-04-26/571f1e4de5bca.jpg,./Uploads/ico/2017-10-26/59f1a6a1ca909.jpg,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.080057,30.608786,开启,2017年10月26日 16点26分06秒,杨镰齐,2017年12月20日 14点44分29秒,杨镰齐,
,,,,3°空间,,开启,电梯框架,四川城市纵横传播有限公司,6,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成都,5350,701住宿楼,701住宿楼,701住宿楼,高级住宅,开启,门贴,盛世华腾,5,5,4,马鞍东路11号,,99,5,5,4,0,0,"a:1:{s:7:""media_3"";d:100;}",金牛区,东方,,700,2009,37,2.3,11000,./Uploads/ico/2018-02-07/m_5a7aacaa90554.jpg,./Uploads/ico/2018-02-07/5a7aacaa90554.jpg,./Uploads/ico/2016-09-28/57eb1e1cd31dec.jpg,./Uploads/ico/2018-02-07/5a7aacae5fa6f.jpg,104.09078,30.674821,开启,1970年01月01日 08点00分00秒,,2018年02月07日 15点37分23秒,杨镰齐,
成都,3791,78号观邸,78号观邸,78号观邸,高级住宅,开启,电梯框架,分众传媒,15,7,1,锦里西路78号,,199,15,7,1,0,2,"a:1:{s:7:""media_1"";d:100;}",青羊区,西门,一环内,577,2008,43,1.8,27300,./Uploads/thumb/2016-11-08/58219d647f010.jpg,./Uploads/ico/2016-11-08/58219d647f010.JPG,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.047692,30.655676,开启,1970年01月01日 08点00分00秒,yanglianqi,2017年12月20日 14点44分03秒,杨镰齐,
